,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
266,google,alexnet,bing,40/60,adaptive,0.8029412
267,google,alexnet,bing,50/50,adaptive,0.84874755
268,google,resnet,bing,20/80,adaptive,0.82568026
269,google,resnet,bing,30/70,adaptive,0.8536155
270,google,resnet,bing,40/60,adaptive,0.86104566
271,google,resnet,bing,50/50,adaptive,0.84
272,google,vgg,bing,20/80,adaptive,0.7615324
273,google,vgg,bing,30/70,adaptive,0.82911396
274,google,vgg,bing,40/60,adaptive,0.82828283
275,google,vgg,bing,50/50,adaptive,0.8481781
276,google,alexnet,google,20/80,adaptive,0.75787854
277,google,alexnet,google,30/70,adaptive,0.80096155
278,google,alexnet,google,40/60,adaptive,0.8541459
279,google,alexnet,google,50/50,adaptive,0.82915056
280,google,resnet,google,20/80,adaptive,0.8449105
281,google,resnet,google,30/70,adaptive,0.8712195
282,google,resnet,google,40/60,adaptive,0.8882494
283,google,resnet,google,50/50,adaptive,0.88986355
284,google,vgg,google,20/80,adaptive,0.7389529
285,google,vgg,google,30/70,adaptive,0.8383659
286,google,vgg,google,40/60,adaptive,0.8324372
287,google,vgg,google,50/50,adaptive,0.87053144
288,google,alexnet,bing,20/80,curriculum,0.80300504
289,google,alexnet,bing,30/70,curriculum,0.83570164
290,google,alexnet,bing,40/60,curriculum,0.8587732
291,google,alexnet,bing,50/50,curriculum,0.86178863
292,google,resnet,bing,20/80,curriculum,0.89320385
293,google,resnet,bing,30/70,curriculum,0.91157794
294,google,resnet,bing,40/60,curriculum,0.91130257
295,google,resnet,bing,50/50,curriculum,0.91793317
296,google,vgg,bing,20/80,curriculum,0.8985916
297,google,vgg,bing,30/70,curriculum,0.92315227
298,google,vgg,bing,40/60,curriculum,0.9243781
299,google,vgg,bing,50/50,curriculum,0.9204893
300,google,alexnet,google,20/80,curriculum,0.8304559
301,google,alexnet,google,30/70,curriculum,0.85045046
302,google,alexnet,google,40/60,curriculum,0.8599717
