,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
305,google,resnet,google,30/70,curriculum,0.9816741
306,google,resnet,google,40/60,curriculum,0.9840319
307,google,resnet,google,50/50,curriculum,0.985015
308,google,vgg,google,20/80,curriculum,0.9788698
309,google,vgg,google,30/70,curriculum,0.9846154
310,google,vgg,google,40/60,curriculum,0.98404783
311,google,vgg,google,50/50,curriculum,0.9895158
312,google,alexnet,bing,20/80,ensamble,0.9510763
313,google,alexnet,bing,30/70,ensamble,0.9513035
314,google,alexnet,bing,40/60,ensamble,0.9555775
315,google,alexnet,bing,50/50,ensamble,0.95979893
316,google,resnet,bing,20/80,ensamble,0.97443455
317,google,resnet,bing,30/70,ensamble,0.9806644
318,google,resnet,bing,40/60,ensamble,0.9845387
319,google,resnet,bing,50/50,ensamble,0.98549277
320,google,vgg,bing,20/80,ensamble,0.9730524
321,google,vgg,bing,30/70,ensamble,0.9850895
322,google,vgg,bing,40/60,ensamble,0.98604184
323,google,vgg,bing,50/50,ensamble,0.9884596
324,google,alexnet,google,20/80,ensamble,0.9472665
325,google,alexnet,google,30/70,ensamble,0.9587021
326,google,alexnet,google,40/60,ensamble,0.96003944
327,google,alexnet,google,50/50,ensamble,0.9623683
328,google,resnet,google,20/80,ensamble,0.9664886
329,google,resnet,google,30/70,ensamble,0.9816741
330,google,resnet,google,40/60,ensamble,0.9820896
331,google,resnet,google,50/50,ensamble,0.983984
332,google,vgg,google,20/80,ensamble,0.9793308
333,google,vgg,google,30/70,ensamble,0.983639
334,google,vgg,google,40/60,ensamble,0.98803586
335,google,vgg,google,50/50,ensamble,0.98949474
336,google,alexnet,bing,20/80,gaussian,0.9453842
337,google,alexnet,bing,30/70,gaussian,0.9474747
338,google,alexnet,bing,40/60,gaussian,0.95729893
339,google,alexnet,bing,50/50,gaussian,0.9647293
340,google,resnet,bing,20/80,gaussian,0.9726027
341,google,resnet,bing,30/70,gaussian,0.98019797
342,google,resnet,bing,40/60,gaussian,0.98301697
343,google,resnet,bing,50/50,gaussian,0.9839358
344,google,vgg,bing,20/80,gaussian,0.97977304
345,google,vgg,bing,30/70,gaussian,0.98556495
346,google,vgg,bing,40/60,gaussian,0.98802394
347,google,vgg,bing,50/50,gaussian,0.98897797
348,google,alexnet,google,20/80,gaussian,0.94179386
349,google,alexnet,google,30/70,gaussian,0.9516909
350,google,alexnet,google,40/60,gaussian,0.96333003
351,google,alexnet,google,50/50,gaussian,0.9621514
352,google,resnet,google,20/80,gaussian,0.97310513
353,google,resnet,google,30/70,gaussian,0.9777997
354,google,resnet,google,40/60,gaussian,0.9829489
355,google,resnet,google,50/50,gaussian,0.9828283
356,google,vgg,google,20/80,gaussian,0.97838897
357,google,vgg,google,30/70,gaussian,0.9841427
358,google,vgg,google,40/60,gaussian,0.9885173
359,google,vgg,google,50/50,gaussian,0.98895586
360,google,alexnet,bing,20/80,nonMath,0.93687713
361,google,alexnet,bing,30/70,nonMath,0.94835216
362,google,alexnet,bing,40/60,nonMath,0.9549823
363,google,alexnet,bing,50/50,nonMath,0.9616343
364,google,resnet,bing,20/80,nonMath,0.9697856
365,google,resnet,bing,30/70,nonMath,0.98017836
366,google,resnet,bing,40/60,nonMath,0.98493975
367,google,resnet,bing,50/50,nonMath,0.98391956
368,google,vgg,bing,20/80,nonMath,0.96605235
369,google,vgg,bing,30/70,nonMath,0.9826818
370,google,vgg,bing,40/60,nonMath,0.9874812
371,google,vgg,bing,50/50,nonMath,0.9884827
372,google,alexnet,google,20/80,nonMath,0.94625723
373,google,alexnet,google,30/70,nonMath,0.9552094
374,google,alexnet,google,40/60,nonMath,0.96114117
375,google,alexnet,google,50/50,nonMath,0.9605523
376,google,resnet,google,20/80,nonMath,0.9750123
377,google,resnet,google,30/70,nonMath,0.9792285
378,google,resnet,google,40/60,nonMath,0.9825436
379,google,resnet,google,50/50,nonMath,0.9828974
380,google,vgg,google,20/80,nonMath,0.97882825
381,google,vgg,google,30/70,nonMath,0.9850895
382,google,vgg,google,40/60,nonMath,0.9855506
383,google,vgg,google,50/50,nonMath,0.9879397
384,google,alexnet,bing,20/80,saltPepper,0.94281596
385,google,alexnet,bing,30/70,saltPepper,0.9442526
386,google,alexnet,bing,40/60,saltPepper,0.9485658
387,google,alexnet,bing,50/50,saltPepper,0.9606769
388,google,resnet,bing,20/80,saltPepper,0.9764244
389,google,resnet,bing,30/70,saltPepper,0.9796526
390,google,resnet,bing,40/60,saltPepper,0.9834917
391,google,resnet,bing,50/50,saltPepper,0.9844142
392,google,vgg,bing,20/80,saltPepper,0.9769042
393,google,vgg,bing,30/70,saltPepper,0.9875312
394,google,vgg,bing,40/60,saltPepper,0.98901093
395,google,vgg,bing,50/50,saltPepper,0.9894631
396,google,alexnet,google,20/80,saltPepper,0.9492998
397,google,alexnet,google,30/70,saltPepper,0.9502175
398,google,alexnet,google,40/60,saltPepper,0.96027803
399,google,alexnet,google,50/50,saltPepper,0.96623635
400,google,resnet,google,20/80,saltPepper,0.9702874
401,google,resnet,google,30/70,saltPepper,0.97979295
402,google,resnet,google,40/60,saltPepper,0.98456943
403,google,resnet,google,50/50,saltPepper,0.9848943
404,google,vgg,google,20/80,saltPepper,0.97455966
405,google,vgg,google,30/70,saltPepper,0.9811881
406,google,vgg,google,40/60,saltPepper,0.9894842
407,google,vgg,google,50/50,saltPepper,0.99044746
408,google,alexnet,bing,20/80,surrogate,0.9268523
409,google,alexnet,bing,30/70,surrogate,0.95454544
410,google,alexnet,bing,40/60,surrogate,0.95276386
411,google,alexnet,bing,50/50,surrogate,0.9590409
412,google,resnet,bing,20/80,surrogate,0.97395575
413,google,resnet,bing,30/70,surrogate,0.97866005
414,google,resnet,bing,40/60,surrogate,0.98196393
415,google,resnet,bing,50/50,surrogate,0.9814722
416,google,vgg,bing,20/80,surrogate,0.9739814
417,google,vgg,bing,30/70,surrogate,0.9835576
418,google,vgg,bing,40/60,surrogate,0.986987
419,google,vgg,bing,50/50,surrogate,0.98647976
420,google,alexnet,google,20/80,surrogate,0.9423077
421,google,alexnet,google,30/70,surrogate,0.9552094
422,google,alexnet,google,40/60,surrogate,0.9591226
423,google,alexnet,google,50/50,surrogate,0.9647293
424,google,resnet,google,20/80,surrogate,0.9726295
425,google,resnet,google,30/70,surrogate,0.9787654
426,google,resnet,google,40/60,surrogate,0.98107576
427,google,resnet,google,50/50,surrogate,0.9829489
428,google,vgg,google,20/80,surrogate,0.9726295
429,google,vgg,google,30/70,surrogate,0.9846154
430,google,vgg,google,40/60,surrogate,0.98601395
431,google,vgg,google,50/50,surrogate,0.98949474
